50 100
1 2 10
1 3 5
1 4 15
2 5 20
2 6 8
3 7 12
3 8 3
4 9 7
4 10 18
5 11 6
5 12 9
6 13 14
6 14 11
7 15 17
7 16 13
8 17 16
8 18 4
9 19 21
9 20 22
10 21 1
10 22 2
11 23 23
11 24 24
12 25 25
12 26 26
13 27 27
13 28 28
14 29 29
14 30 30
15 31 31
15 32 32
16 33 33
16 34 34
17 35 35
17 36 36
18 37 37
18 38 38
19 39 39
19 40 40
20 41 41
20 42 42
21 43 43
21 44 44
22 45 45
22 46 46
23 47 47
23 48 48
24 49 49
24 50 50
25 51 51
25 52 52
26 53 53
26 54 54
27 55 55
27 56 56
28 57 57
28 58 58
29 59 59
29 60 60
30 61 61
30 62 62
31 63 63
31 64 64
32 65 65
32 66 66
33 67 67
33 68 68
34 69 69
34 70 70
35 71 71
35 72 72
36 73 73
36 74 74
37 75 75
37 76 76
38 77 77
38 78 78
39 79 79
39 80 80
40 81 81
40 82 82
41 83 83
41 84 84
42 85 85
42 86 86
43 87 87
43 88 88
44 89 89
44 90 90
45 91 91
45 92 92
46 93 93
46 94 94
47 95 95
47 96 96
48 97 97
48 98 98
49 99 99
49 100 100
50 100 101
